24.71568,-82.86584,,,,"24.71568,-82.86584,#000000"
24.71781,-82.85909,,,,"24.71781,-82.85909,#000000"
24.60447,-82.94161,,,,"24.60447,-82.94161,#000000"
24.60257,-82.941,,,,"24.60257,-82.941,#000000"
24.60206,-82.91083,,,,"24.60206,-82.91083,#000000"
24.62324,-82.90176,,,,"24.62324,-82.90176,#000000"
24.62576,-82.96111,,,,"24.62576,-82.96111,#000000"
24.63298,-82.9668,,,,"24.63298,-82.9668,#000000"
24.64982,-82.93892,,,,"24.64982,-82.93892,#000000"
24.64187,-82.9653,,,,"24.64187,-82.9653,#000000"
24.62966,-83.10137,,,,"24.62966,-83.10137,#000000"
24.63512,-83.10195,,,,"24.63512,-83.10195,#000000"
24.64016,-83.10313,,,,"24.64016,-83.10313,#000000"
24.64604,-83.10352,,,,"24.64604,-83.10352,#000000"
24.64664,-83.10353,,,,"24.64664,-83.10353,#000000"
24.64839,-83.03131,,,,"24.64839,-83.03131,#000000"
24.61564,-83.07762,,,,"24.61564,-83.07762,#000000"
24.6157,-83.07749,,,,"24.6157,-83.07749,#000000"
24.62024,-83.08408,,,,"24.62024,-83.08408,#000000"
24.62025,-83.08431,,,,"24.62025,-83.08431,#000000"
24.60024,-83.06197,,,,"24.60024,-83.06197,#000000"
24.6145,-83.06645,,,,"24.6145,-83.06645,#000000"
24.6143,-83.06636,,,,"24.6143,-83.06636,#000000"
24.65575,-83.08521,,,,"24.65575,-83.08521,#000000"
24.61837,-83.05272,,,,"24.61837,-83.05272,#000000"
24.61837,-83.05288,,,,"24.61837,-83.05288,#000000"
24.63361,-83.02626,,,,"24.63361,-83.02626,#000000"
24.63496,-83.06589,,,,"24.63496,-83.06589,#000000"
24.6363,-83.06005,,,,"24.6363,-83.06005,#000000"
24.61084,-83.05885,,,,"24.61084,-83.05885,#000000"
24.60805,-83.06136,,,,"24.60805,-83.06136,#000000"
24.6081,-83.06132,,,,"24.6081,-83.06132,#000000"
24.61334,-83.05702,,,,"24.61334,-83.05702,#000000"
24.56528,-83.04564,,,,"24.56528,-83.04564,#000000"
24.59584,-83.04236,,,,"24.59584,-83.04236,#000000"
24.61725,-83.05591,,,,"24.61725,-83.05591,#000000"
24.61728,-83.05581,,,,"24.61728,-83.05581,#000000"
24.6795,-83.0309,,,,"24.6795,-83.0309,#000000"
24.70742,-82.98592,,,,"24.70742,-82.98592,#000000"
24.65427,-83.03488,,,,"24.65427,-83.03488,#000000"
24.67963,-83.05805,,,,"24.67963,-83.05805,#000000"
24.67778,-83.06114,,,,"24.67778,-83.06114,#000000"
24.67964,-83.05805,,,,"24.67964,-83.05805,#000000"
24.68235,-83.01206,,,,"24.68235,-83.01206,#000000"
24.6559,-83.07155,,,,"24.6559,-83.07155,#000000"
24.68021,-83.01753,,,,"24.68021,-83.01753,#000000"
24.68103,-83.03402,,,,"24.68103,-83.03402,#000000"
