time,latitude,longitude,depth,species_nr,scientific_name,common_name,length_fish,number_seen
2014-07-20T00:00:00Z,24.63467,-82.81061,6.6,706,Haemulon sp.,grunt species,5,2
2014-07-20T00:00:00Z,24.63467,-82.81061,6.6,706,Haemulon sp.,grunt species,6,1
2014-07-20T00:00:00Z,24.63467,-82.81061,6.6,706,Haemulon sp.,grunt species,6,8
2014-07-20T00:00:00Z,24.63467,-82.81061,6.6,706,Haemulon sp.,grunt species,7,17
2014-07-20T00:00:00Z,24.63467,-82.81061,6.6,706,Haemulon sp.,grunt species,7,8
2014-07-20T00:00:00Z,24.63593,-82.8032,5.7,706,Haemulon sp.,grunt species,6,1
2014-07-20T00:00:00Z,24.63593,-82.8032,5.7,706,Haemulon sp.,grunt species,7,3
2014-07-20T00:00:00Z,24.63593,-82.8032,5.7,706,Haemulon sp.,grunt species,9,1
2014-06-06T00:00:00Z,24.66692,-82.83452,6.4,706,Haemulon sp.,grunt species,3,1
2014-06-06T00:00:00Z,24.66692,-82.83452,6.4,706,Haemulon sp.,grunt species,3,30
2014-06-06T00:00:00Z,24.66692,-82.83452,6.4,706,Haemulon sp.,grunt species,4,62
2014-06-06T00:00:00Z,24.66692,-82.83452,6.4,706,Haemulon sp.,grunt species,4,30
2014-06-06T00:00:00Z,24.66692,-82.83452,6.4,706,Haemulon sp.,grunt species,5,1
2014-06-06T00:00:00Z,24.66708,-82.83448,5.1,706,Haemulon sp.,grunt species,3,8
2014-06-06T00:00:00Z,24.66708,-82.83448,5.1,706,Haemulon sp.,grunt species,4,18
2014-06-06T00:00:00Z,24.66708,-82.83448,5.1,706,Haemulon sp.,grunt species,4,8
2014-06-06T00:00:00Z,24.66157,-82.84505,6.7,706,Haemulon sp.,grunt species,3,375
2014-06-06T00:00:00Z,24.66157,-82.84505,6.7,706,Haemulon sp.,grunt species,3,120
2014-06-06T00:00:00Z,24.66157,-82.84505,6.7,706,Haemulon sp.,grunt species,4,5
2014-06-06T00:00:00Z,24.66122,-82.8449,6.4,706,Haemulon sp.,grunt species,3,140
2014-06-06T00:00:00Z,24.66122,-82.8449,6.4,706,Haemulon sp.,grunt species,3,45
2014-06-06T00:00:00Z,24.66122,-82.8449,6.4,706,Haemulon sp.,grunt species,4,1
2014-06-06T00:00:00Z,24.66122,-82.8449,6.4,706,Haemulon sp.,grunt species,5,2
2014-06-06T00:00:00Z,24.66122,-82.8449,6.4,706,Haemulon sp.,grunt species,6,6
2014-06-06T00:00:00Z,24.66122,-82.8449,6.4,706,Haemulon sp.,grunt species,7,2
2014-06-06T00:00:00Z,24.6782,-82.82343,9,706,Haemulon sp.,grunt species,3,3
2014-06-06T00:00:00Z,24.6782,-82.82343,9,706,Haemulon sp.,grunt species,4,7
2014-06-06T00:00:00Z,24.6782,-82.82343,9,706,Haemulon sp.,grunt species,5,3
2014-06-06T00:00:00Z,24.67828,-82.823,9.8,706,Haemulon sp.,grunt species,2,6
2014-06-06T00:00:00Z,24.67828,-82.823,9.8,706,Haemulon sp.,grunt species,3,19
2014-07-21T00:00:00Z,24.58347,-82.97138,12.8,706,Haemulon sp.,grunt species,3,1
2014-07-20T00:00:00Z,24.63634,-82.84588,14.2,706,Haemulon sp.,grunt species,5,1
2014-07-26T00:00:00Z,24.57776,-82.95252,19.4,706,Haemulon sp.,grunt species,4,1
2014-07-26T00:00:00Z,24.57776,-82.95252,19.4,706,Haemulon sp.,grunt species,4,36
2014-07-26T00:00:00Z,24.57776,-82.95252,19.4,706,Haemulon sp.,grunt species,5,112
2014-07-26T00:00:00Z,24.58409,-82.93027,10.7,706,Haemulon sp.,grunt species,3,2
2014-07-26T00:00:00Z,24.58409,-82.93027,10.7,706,Haemulon sp.,grunt species,4,5
2014-07-26T00:00:00Z,24.58409,-82.93027,10.7,706,Haemulon sp.,grunt species,5,2
2014-07-21T00:00:00Z,24.59565,-82.96483,13.4,706,Haemulon sp.,grunt species,3,1
